location,sublocation,station,date,depth_m,parameter,units,parmUnit,result
Conestogo Lake,LA,clc,2017-06-21,2,Fe,mg/L,Fe_mg.L,0.033
Conestogo Lake,LA,clc,2017-06-21,7,Fe,mg/L,Fe_mg.L,0.034
Conestogo Lake,LA,clc,2017-06-21,16,Fe,mg/L,Fe_mg.L,0.037
Conestogo Lake,LA,clc,2017-07-05,2,Fe,mg/L,Fe_mg.L,0.054
Conestogo Lake,LA,clc,2017-07-05,7,Fe,mg/L,Fe_mg.L,0.053
Conestogo Lake,LA,clc,2017-07-05,16,Fe,mg/L,Fe_mg.L,0.058
Conestogo Lake,LA,cle,2017-07-05,2,Fe,mg/L,Fe_mg.L,0.046
Conestogo Lake,LA,cle,2017-07-05,8,Fe,mg/L,Fe_mg.L,0.046
Conestogo Lake,LA,cle,2017-07-11,2,Fe,mg/L,Fe_mg.L,0.038
Conestogo Lake,LA,cle,2017-07-11,8,Fe,mg/L,Fe_mg.L,0.047
Conestogo Lake,LA,clw,2017-07-11,2,Fe,mg/L,Fe_mg.L,0.036
Conestogo Lake,LA,clw,2017-07-11,7,Fe,mg/L,Fe_mg.L,0.05
Conestogo Lake,LA,clw,2017-07-11,10,Fe,mg/L,Fe_mg.L,0.063
Conestogo Lake,LA,clc,2017-07-14,2,Fe,mg/L,Fe_mg.L,0.043
Conestogo Lake,LA,clc,2017-07-14,7,Fe,mg/L,Fe_mg.L,0.044
Conestogo Lake,LA,clc,2017-07-14,16,Fe,mg/L,Fe_mg.L,0.044
Conestogo Lake,LA,clc,2017-07-18,2,Fe,mg/L,Fe_mg.L,0.035
Conestogo Lake,LA,clc,2017-07-18,7,Fe,mg/L,Fe_mg.L,0.053
Conestogo Lake,LA,clc,2017-07-18,16,Fe,mg/L,Fe_mg.L,0.053
Conestogo Lake,LA,cle,2017-07-19,2,Fe,mg/L,Fe_mg.L,0.035
Conestogo Lake,LA,cle,2017-07-19,8,Fe,mg/L,Fe_mg.L,0.064
Conestogo Lake,LA,clw,2017-07-19,2,Fe,mg/L,Fe_mg.L,0.042
Conestogo Lake,LA,clw,2017-07-19,7,Fe,mg/L,Fe_mg.L,0.057
Conestogo Lake,LA,clw,2017-07-19,10,Fe,mg/L,Fe_mg.L,0.066
Conestogo Lake,LA,clc,2017-07-25,2,Fe,mg/L,Fe_mg.L,0.038
Conestogo Lake,LA,clc,2017-07-25,7,Fe,mg/L,Fe_mg.L,0.037
Conestogo Lake,LA,clc,2017-07-25,16,Fe,mg/L,Fe_mg.L,0.055
Conestogo Lake,LA,cle,2017-07-25,2,Fe,mg/L,Fe_mg.L,0.041
Conestogo Lake,LA,cle,2017-07-25,8,Fe,mg/L,Fe_mg.L,0.101
Conestogo Lake,LA,clw,2017-07-25,2,Fe,mg/L,Fe_mg.L,0.036
Conestogo Lake,LA,clw,2017-07-25,7,Fe,mg/L,Fe_mg.L,0.037
Conestogo Lake,LA,clw,2017-07-25,10,Fe,mg/L,Fe_mg.L,0.058
Conestogo Lake,LA,cle,2017-07-31,2,Fe,mg/L,Fe_mg.L,0.038
Conestogo Lake,LA,cle,2017-07-31,7,Fe,mg/L,Fe_mg.L,0.053
Conestogo Lake,LA,clw,2017-07-31,2,Fe,mg/L,Fe_mg.L,0.036
Conestogo Lake,LA,clw,2017-07-31,7,Fe,mg/L,Fe_mg.L,0.042
Conestogo Lake,LA,clw,2017-07-31,9,Fe,mg/L,Fe_mg.L,0.038
Conestogo Lake,LA,clc,2017-08-01,2,Fe,mg/L,Fe_mg.L,0.035
Conestogo Lake,LA,clc,2017-08-01,7,Fe,mg/L,Fe_mg.L,0.04
Conestogo Lake,LA,clc,2017-08-01,15,Fe,mg/L,Fe_mg.L,0.047
Conestogo Lake,LA,clc,2017-08-10,2,Fe,mg/L,Fe_mg.L,0.034
Conestogo Lake,LA,clc,2017-08-10,7,Fe,mg/L,Fe_mg.L,0.037
Conestogo Lake,LA,clc,2017-08-10,15,Fe,mg/L,Fe_mg.L,0.045
Conestogo Lake,LA,cle,2017-08-10,2,Fe,mg/L,Fe_mg.L,0.041
Conestogo Lake,LA,cle,2017-08-10,6.5,Fe,mg/L,Fe_mg.L,0.054
Conestogo Lake,LA,clw,2017-08-10,2,Fe,mg/L,Fe_mg.L,0.035
Conestogo Lake,LA,clw,2017-08-10,7,Fe,mg/L,Fe_mg.L,0.035
Conestogo Lake,LA,clw,2017-08-10,9,Fe,mg/L,Fe_mg.L,0.044
Conestogo Lake,LA,clc,2017-08-17,2,Fe,mg/L,Fe_mg.L,0.026
Conestogo Lake,LA,clc,2017-08-17,7,Fe,mg/L,Fe_mg.L,0.016
Conestogo Lake,LA,clc,2017-08-17,15,Fe,mg/L,Fe_mg.L,0.019
Conestogo Lake,LA,cle,2017-08-17,2,Fe,mg/L,Fe_mg.L,0.014
Conestogo Lake,LA,cle,2017-08-17,6.5,Fe,mg/L,Fe_mg.L,0.02
Conestogo Lake,LA,clw,2017-08-17,2,Fe,mg/L,Fe_mg.L,0.011
Conestogo Lake,LA,clw,2017-08-17,7,Fe,mg/L,Fe_mg.L,0.012
Conestogo Lake,LA,clw,2017-08-17,8.5,Fe,mg/L,Fe_mg.L,0.022
Conestogo Lake,LA,clc,2018-05-11,2,Fe,mg/L,Fe_mg.L,NA
Conestogo Lake,LA,clc,2018-05-11,7,Fe,mg/L,Fe_mg.L,NA
