Enki.ID,site,Sampling.date,Depth..m.,MC.total,SD,MC.RR,SD.4,MC.YR,SD.5,MC.LR,SD.7,AP.A,SD.18
16443,clc,2017-06-21,3.87,0,NA,0,NA,0,NA,0,NA,0,NA
16444,clc,2017-07-05,2,0,NA,0,NA,NA,NA,0,NA,0,NA
16445,clc,2017-07-14,2.85,0,NA,0,NA,NA,NA,0,NA,NA,NA
16446,clc,2017-07-18,1.4,NA,NA,0,NA,0,NA,406.88,18.06,109.25,78.62
16447,clc,2017-07-25,1.26,0,NA,NA,NA,NA,NA,88.18,6.22,189.65,35.58
16448,clc,2017-08-01,1.53,0,NA,0,NA,59.22,16.5,NA,NA,278.84,27.42
16449,clc,2017-08-10,1.35,0,NA,0,NA,NA,NA,0,NA,619.33,140.95
16450,clc,2017-08-17,1.42,0,NA,0,NA,0,NA,0,NA,343.99,50.32
16451,cle,2017-07-05,0.94,0,NA,0,NA,0,NA,0,NA,0,NA
16452,cle,2017-07-11,1.77,NA,NA,0,NA,0,NA,0,NA,NA,NA
16453,cle,2017-07-19,0.83,NA,NA,120.97,1.56,97.26,36.16,763.25,154.17,0,NA
16454,cle,2017-07-25,1.1,NA,NA,NA,NA,0,NA,72.07,23.34,174.25,34.91
16455,cle,2017-07-31,1.05,NA,NA,0,NA,0,NA,0,NA,188.58,108.52
16456,cle,2017-08-10,0.94,NA,NA,0,NA,0,NA,0,NA,411,30.56
16457,cle,2017-08-17,1.05,NA,NA,0,NA,0,NA,0,NA,856.77,37.15
