"","P1041","P1076","P1133","P2101","P2105","P2130","P2136","P2204","P4351","P4352","P4357","P4398","P4418","P5508","P5530","P5540","P5551","P6554","P6558","P6565","P6568","P7632","P7640","P7644","site.code","station","DOY","order"
"clc186",0.0966902846432535,0,0,0,0.0500237157471938,0,0,0,0.159185446337594,0.0814412766247017,0.120349451182053,0.464632205294631,0.0802909183235465,0.138900619877881,0.249466863483131,0,0.0247783153377119,0.470105797087292,0.389135031888957,0,0.118519082696492,0.0825756108744218,0,0.493892822007096,"clc186","clc","186",1
"clc195",0.477982871815576,0.100111645024572,0,0.0387730733941594,0.03983554609485,0,0,0.38684116387331,0.102787247745648,0.0733962433634728,0.0590503144468556,0.0928622078103063,0.121241223003171,0.199282533286277,0.360378747351457,0.465725426944877,0,0.194188207106124,0.228929015055749,0.206233633559854,0.0590503144468556,0,0,0.208298791671537,"clc195","clc","195",2
"clc199",0.815133276028051,0.142317554927163,0.0906156565146786,0,0,0,0,0.112786696225573,0.0450192404276261,0.0410041507678365,0,0.156285166522705,0.0400392120557214,0.0563933481127863,0.120658953177822,0.161735983135025,0,0.101472068190601,0,0.0281966740563932,0,0,0,0.457871381142794,"clc199","clc","199",3
"clc206",0.909315605028215,0.131111203143346,0,0.076827959567854,0.0289864160575898,0,0,0.0886374587133909,0.0291974483938834,0.0353648263389629,0.041672001702556,0.131158020214341,0.0347897501866571,0.0852994318963652,0.121117755271903,0.264271375341468,0.0115460533800422,0.0935290340328806,0.0353896176678674,0,0.0898560352846625,0,0,0.095450396659934,"clc206","clc","206",4
"clc213",0.784877076545276,0.140605119459857,0,0.0232639086691142,0.107693937878254,0,0,0.0249940355480482,0.0546474430723995,0.0651970552360333,0.060364272710332,0.0986852986413829,0.0365088481380393,0,0.0499433123307304,0.151973931510567,0,0.250580790060468,0.263096264817782,0.0758617791907409,0.0836210839861748,0.0447640122631242,0,0.396395827068799,"clc213","clc","213",5
"clc222",0.727077041239578,0.127740115276831,0,0.0339565965575605,0.091121201017651,0,0,0.019990326467266,0.0438694180603839,0.0314534586491932,0.0424385941866672,0.14102864815112,0.0613661058065254,0.0657012524377854,0.0823043009156113,0.270549804292543,0.0359030628943745,0.296443615737588,0.357046419609723,0.152941965674391,0.0723355701747589,0.0465249528903682,0,0.291701646412401,"clc222","clc","222",6
"clc229",0.408354065650627,0.178566565918777,0,0,0.0837236743448976,0,0,0.0245595167417548,0.054703064270744,0.0913660428051016,0.0389825177821816,0.243830317211692,0.0775885725459528,0.0954412705736023,0.121213651752639,0.385485910086097,0.0257809629855843,0.492918977407684,0.382577202635097,0.122761812212057,0.215066870604487,0,0,0.3028045626152,"clc229","clc","229",7
"cle186",0.231350171419007,0.0487031101626669,0,0,0,0.0570330005172586,0,0.0393510939905186,0.0450165253307623,0.0505075368096163,0.121976283869694,0.284083184344729,0.0619383800263641,0.396140723117095,0.523335600551926,0.0768376515141423,0.113704459709722,0.206798670358337,0.147286937106837,0,0.180547635350588,0.129838964153294,0.173189266523498,0.491689832054325,"cle186","cle","186",1
"cle192",0.720056469919527,0.0530498174584473,0.0594528076529381,0,0,0.00770609862409211,0,0.0397833070906552,0.0428455226817228,0.0429057412956735,0.0457312586290963,0.0992341123413739,0.0430858921564237,0.130697834871793,0.375620973381146,0.344496074170515,0.0242093747678557,0.088258857238677,0.0561472482895258,0,0.03571364023067,0.0448476172249107,0.0930160426953538,0.394636918556539,"cle192","cle","192",2
"cle200",0.85823884195544,0.145423011169519,0.0774389330607311,0,0.0116360752345239,0,0.0493059380037956,0.0445602433818894,0.0353227241991207,0.0310598214563837,0,0.103092605882044,0.0148103058685116,0.0233157449196235,0.0582850067667939,0.101710879711099,0,0.0395112868220734,0.0274251209901933,0,0.01277320975599,0,0.067358705839675,0.444263462883145,"cle200","cle","200",3
"cle206",0.882306205030234,0.172274641259437,0,0,0,0,0.136967839070032,0.0603394375161684,0.0218295410725205,0.0863070017409539,0.0411452486749769,0.146522623922572,0.035382669288214,0.0931100491480447,0.115039672090747,0.115329993491449,0.0217816166654851,0.0498503382340153,0.0450955410778665,0,0.117110354349787,0,0,0.288451811578165,"cle206","cle","206",4
"cle212",0.862200346293148,0.135608263200337,0,0.152680350859496,0.0499033694148063,0,0.0794040683697798,0.030862505294529,0.0301409244305676,0.0258413659253721,0,0.138481979048433,0.0159314515235695,0.101264664658869,0.193879698033074,0.032213697872248,0.021334812754396,0.0952304128038023,0.0419725252221758,0,0.0813557487910684,0.0662054325758332,0,0.336132855800075,"cle212","cle","212",5
"cle222",0.650927528215472,0.267944564428223,0,0.0803296833981854,0.191533339528633,0.0494276717845088,0.110585247185348,0.0379110552823117,0.0335248326000713,0.040235442635456,0.0567216614782547,0.174245753355133,0.0248055387523753,0.282549554959036,0.226611276673924,0.201290043928258,0.057180146608297,0.123697734784175,0.0382983688488105,0,0.0820080613844247,0.0537834593381854,0,0.454922681431131,"cle222","cle","222",6
"cle229",0.535955347210907,0.25516346084083,0.0263750870424075,0.141245704912091,0.238447747479122,0.105289473786961,0.109409468258172,0.0151300493695932,0.0573234601341224,0.0487428125751915,0.0917664720055121,0.274751921800477,0.0215781270787989,0.283353555261746,0.0387753416654632,0.11747624288173,0.0232393977755841,0.180276854896856,0.133550111000117,0,0.196020002283186,0.0894236334906451,0,0.513739683001658,"cle229","cle","229",7
