Site,Date,Depth_M,Cloud,Secchi,PRESSURE,Air_Temp,Wind_D,Wind_S
clc,21-Jun-17,17.0,90,3.87,102,,267.61,1.56
clc,05-Jul-17,17.7,0,2,97.6,24.1,139.19,0
clc,14-Jul-17,17.1,90,2.85,97.1,18.8,292.6,0.06
clc,18-Jul-17,17.3,0,1.4,97.5,23,305.12,0
clc,25-Jul-17,17.2,20,1.26,97.8,22.6,113.5,3.5
clc,01-Aug-17,16.2,0,1.53,97.5,24.2,306.9,4.6
clc,10-Aug-17,15.9,80,1.35,97.6,25.3,141.3,0
clc,17-Aug-17,15.6,100,1.42,96.8,20.1,121.5,1.3
cle,05-Jul-17,9.1,0,0.94,97.7,22.4,130.89,0
cle,11-Jul-17,8.75,70,1.77,96.9,19.9,202.65,4.34
cle,19-Jul-17,9.1,50,0.83,97.3,24.7,266.81,0.87
cle,25-Jul-17,8.8,5,1.1,97.8,17.6,11.7,3.3
cle,31-Jul-17,8,0,1.05,97.6,21.2,299.6,0
cle,10-Aug-17,7.65,90,0.94,97.7,20.2,148.9,0
cle,17-Aug-17,7.4,95,1.05,97.1,19.4,122.5,2.4
clw,11-Jul-17,11.3,60,2.35,96.9,24.1,240.62,1.27
clw,19-Jul-17,11.1,90,1.67,97.3,22.5,275.99,0
clw,25-Jul-17,11.2,10,1.18,97.8,20.2,78.3,3.3
clw,31-Jul-17,10.4,40,1.3,97.6,24,294.7,0
clw,10-Aug-17,9.9,70,1.07,97.7,23.5,270.8,7.4
clw,17-Aug-17,9.6,100,1.09,97,19.8,144.6,0
