"","site","date","Depth","PAR"
"1","clc",2017-06-21,0,746.6
"2","clc",2017-06-21,0.5,504.3
"3","clc",2017-06-21,1,257.1
"4","clc",2017-06-21,1.5,185.01
"5","clc",2017-06-21,2,139.5
"6","clc",2017-06-21,2.5,89.04
"7","clc",2017-06-21,3,74.43
"8","clc",2017-06-21,3.5,51.09
"9","clc",2017-06-21,4,39.91
"10","clc",2017-06-21,4.5,28.35
"11","clc",2017-06-21,5,23.14
"12","clc",2017-06-21,5.5,21.1
"13","clc",2017-06-21,6,18.74
"14","clc",2017-06-21,6.5,10.67
"15","clc",2017-06-21,7,6.63
"16","clc",2017-06-21,7.5,4.76
"17","clc",2017-06-21,8,4.38
"18","clc",2017-06-21,8.5,3.09
"19","clc",2017-06-21,9,2.24
"20","clc",2017-06-21,9.5,1.54
"21","clc",2017-06-21,10,1.34
"22","clc",2017-06-21,10.5,0.94
"23","clc",2017-06-21,11,0.72
"24","clc",2017-06-21,11.5,0.38
"25","clc",2017-06-21,12,0.24
"26","clc",2017-06-21,12.5,0.15
"27","clc",2017-06-21,13,0.12
"28","clc",2017-06-21,13.5,0.08
"29","clc",2017-06-21,14,0.06
"30","clc",2017-06-21,14.5,0.04
"31","clc",2017-06-21,15,0.04
"32","clc",2017-06-21,15.5,0.03
"33","clc",2017-06-21,16,0.02
"34","clc",2017-07-05,0,1612.1
"35","clc",2017-07-05,0.5,875.5
"36","clc",2017-07-05,1,469.65
"37","clc",2017-07-05,2,154.65
"38","clc",2017-07-05,3,46.07
"39","clc",2017-07-05,4,14.45
"40","clc",2017-07-05,5,4.92
"41","clc",2017-07-05,6,1.6
"42","clc",2017-07-05,7,0.44
"43","clc",2017-07-05,8,0.07
"44","clc",2017-07-05,9,0.01
"45","clc",2017-07-14,0,539.65
"46","clc",2017-07-14,0.5,360.6
"47","clc",2017-07-14,1,175.24
"48","clc",2017-07-14,1.5,114.6
"49","clc",2017-07-14,2,78.94
"50","clc",2017-07-14,3,35.85
"51","clc",2017-07-14,4,15.74
"52","clc",2017-07-14,5,7.96
"53","clc",2017-07-14,6,4.11
"54","clc",2017-07-14,7,2.34
"55","clc",2017-07-14,8,0.95
"56","clc",2017-07-14,9,0.44
"57","clc",2017-07-14,10,0.22
"58","clc",2017-07-14,11,0.11
"59","clc",2017-07-14,12,0.03
"60","clc",2017-07-14,13,0
"61","clc",2017-07-18,0,1550.5
"62","clc",2017-07-18,0.5,687.45
