"P1041","P1076","P1133","P2101","P2105","P2130","P2136","P2204","P4351","P4352","P4357","P4398","P4418","P5508","P5530","P5540","P5551","P6554","P6558","P6565","P6568","P7632","P7640","P7644"
10.05,0,0,0,2.69,0,0,0,27.24,7.13,15.57,232.07,6.93,20.74,66.9,0,0.66,237.57,162.78,0,15.1,7.33,0,262.22
109.42,4.8,0,0.72,0.76,0,0,71.67,5.06,2.58,1.67,4.13,7.04,19.02,62.2,103.88,0,18.06,25.1,20.37,1.67,0,0,20.78
1019.58,31.08,12.6,0,0,0,0,19.52,3.11,2.58,0,37.48,2.46,4.88,22.34,40.14,0,15.8,0,1.22,0,0,0,321.7
4713.85,98,0,33.65,4.79,0,0,44.79,4.86,7.13,9.9,98.07,6.9,41.48,83.63,398.15,0.76,49.87,7.14,0,46.03,0,0,51.94
4131.85,132.6,0,3.63,77.79,0,0,4.19,20.03,28.51,24.44,65.32,8.94,0,16.73,154.91,0,421.15,464.27,38.6,46.9,13.44,0,1053.9
3809.9,117.6,0,8.31,59.84,0,0,2.88,13.87,7.13,12.98,143.34,27.14,31.11,48.82,527.53,9.29,633.34,918.76,168.58,37.71,15.6,0,613.24
569.51,108.9,0,0,23.94,0,0,2.06,10.22,28.51,5.19,203.05,20.56,31.11,50.18,507.51,2.27,829.81,499.88,51.47,157.97,0,0,313.15
298.98,13.25,0,0,0,18.17,0,8.65,11.32,14.25,83.11,450.81,21.43,876.6,1529.9,32.98,72.22,238.89,121.18,0,182.09,94.17,167.55,1350.47
2008.13,10.9,13.69,0,0,0.23,0,6.13,7.11,7.13,8.1,38.14,7.19,66.16,546.46,459.65,2.27,30.17,12.21,0,4.94,7.79,33.51,603.19
10880.11,312.38,88.58,0,2,0,35.91,29.33,18.43,14.25,0,156.99,3.24,8.03,50.18,152.81,0,23.06,11.11,0,2.41,0,67.02,2915.4
3724.64,142,0,0,0,0,89.76,17.42,2.28,35.64,8.1,102.72,5.99,41.48,63.32,63.64,2.27,11.89,9.73,0,65.62,0,0,398.1
7937.34,196.35,0,248.9,26.59,0,67.32,10.17,9.7,7.13,0,204.76,2.71,109.49,401.35,11.08,4.86,96.83,18.81,0,70.67,46.8,0,1206.37
1866.11,316.2,0,28.42,161.57,10.76,53.86,6.33,4.95,7.13,14.17,133.72,2.71,351.61,226.17,178.45,14.4,67.39,6.46,0,29.62,12.74,0,911.48
2584.9,585.9,6.26,179.53,511.65,99.76,107.72,2.06,29.57,21.38,75.78,679.31,4.19,722.51,13.53,124.19,4.86,292.46,160.5,0,345.77,71.96,0,2375.05
