lake,station,date,depth,species.code,species,density.cells.l,biomass.mg.m3,length.um,width.um,cell.volume.um3,group
Conestogo,clc,2017-07-05,2,P1041,Aphanizomenon flos-aquae Ralfs and Born.,4000,10.05,200,4,2513.3,Cyanophyte
Conestogo,clc,2017-07-05,2,P1205,Heterocycts (Aphanizomenon flos-aquae),1000,0.07,8.2,4.1,72.2,Cyanophyte
Conestogo,clc,2017-07-05,2,P2105,Chlamydomonas spp.,79366,2.69,7.2,3,33.9,Chlorophyte
Conestogo,clc,2017-07-05,2,P2174,Closterium sp.,1000,0.57,91,4,571.8,Chlorophyte
Conestogo,clc,2017-07-05,2,P2235,Ankistrodesmus spiralis Lemmermann,39683,1.92,28,2.1,48.5,Chlorophyte
Conestogo,clc,2017-07-05,2,P4351,Small chrysophyceae,1746052,27.24,3.1,3.1,15.6,Chrysophyte
Conestogo,clc,2017-07-05,2,P4352,Large chrysophyceae,39683,7.13,7,7,179.6,Chrysophyte
Conestogo,clc,2017-07-05,2,P4357,Chrysococcus sp.,238098,15.57,5,5,65.4,Chrysophyte
Conestogo,clc,2017-07-05,2,P4398,Ochromonas globosa Skuja,1349222,232.07,6.9,6.9,172,Chrysophyte
Conestogo,clc,2017-07-05,2,P4418,Salpingoeca frequentissima (Zach.) Lemmermann,238098,6.93,5.1,3.3,29.1,Chrysophyte
Conestogo,clc,2017-07-05,2,P5508,Cyclotella pseudostelligera,79366,20.74,5.5,11,261.3,Diatom
Conestogo,clc,2017-07-05,2,P5515,Fragilaria crotonensis Kitton,21000,6.42,73,4,305.8,Diatom
Conestogo,clc,2017-07-05,2,P5524,Asterionella formosa Hassall,7000,0.73,100,2,104.7,Diatom
Conestogo,clc,2017-07-05,2,P5530,Stephanodiscus niagarae Ehrenberg,4000,66.9,22,44,16725.8,Diatom
Conestogo,clc,2017-07-05,2,P5551,Cyclotella michiganiana Skvortzow,39683,0.66,2.2,4.4,16.7,Diatom
Conestogo,clc,2017-07-05,2,P6554,Rhodomonas minuta Skuja,1428588,237.57,12,6.3,166.3,Cryptophyte
Conestogo,clc,2017-07-05,2,P6558,Cryptomonas erosa Ehrenberg,103000,162.78,23.1,14,1580.4,Cryptophyte
Conestogo,clc,2017-07-05,2,P6562,Cryptomonas reflexa (Marsson) Skuja,39000,28.59,21,10,733,Cryptophyte
Conestogo,clc,2017-07-05,2,P6568,Katablepharis ovalis Skuja,238098,15.1,9.3,4.2,63.4,Cryptophyte
Conestogo,clc,2017-07-05,2,P7632,Gymnodinium sp.,1000,7.33,24.1,24.1,7329.1,Dinoflagellate
Conestogo,clc,2017-07-05,2,P7644,Ceratium hirundenella (Muller) Schrank,5000,262.22,62.6,40,52443.7,Dinoflagellate
Conestogo,clc,2017-07-05,7,P1041,Aphanizomenon flos-aquae Ralfs and Born.,5000,16.34,260,4,3267.3,Cyanophyte
Conestogo,clc,2017-07-05,7,P2101,Carteria spp.,39683,17.26,9.4,9.4,434.9,Chlorophyte
Conestogo,clc,2017-07-05,7,P2105,Chlamydomonas spp.,79366,3.99,6,4,50.3,Chlorophyte
Conestogo,clc,2017-07-05,7,P2204,Ankyra judai (G.M. Smith) Fott,119049,3.54,15.6,2.2,29.7,Chlorophyte
Conestogo,clc,2017-07-05,7,P2235,Ankistrodesmus spiralis Lemmermann,119049,5.98,29,2.1,50.2,Chlorophyte
Conestogo,clc,2017-07-05,7,P4351,Small chrysophyceae,2142882,19.71,2.6,2.6,9.2,Chrysophyte
Conestogo,clc,2017-07-05,7,P4352,Large chrysophyceae,277781,49.89,7,7,179.6,Chrysophyte
Conestogo,clc,2017-07-05,7,P4357,Chrysococcus sp.,515879,26.31,4.6,4.6,51,Chrysophyte
Conestogo,clc,2017-07-05,7,P4362,Kephyrion sp.,79366,1.24,3.1,3.1,15.6,Chrysophyte
Conestogo,clc,2017-07-05,7,P4398,Ochromonas globosa Skuja,793660,119.45,6.6,6.6,150.5,Chrysophyte
Conestogo,clc,2017-07-05,7,P4418,Salpingoeca frequentissima (Zach.) Lemmermann,198415,5.95,5.6,3.2,30,Chrysophyte
Conestogo,clc,2017-07-05,7,P5507,Cyclotella stelligera Cleve and Grunow,1000,1.57,10,20,1570.8,Diatom
Conestogo,clc,2017-07-05,7,P5508,Cyclotella pseudostelligera,476196,111.38,5.3,10.6,233.9,Diatom
Conestogo,clc,2017-07-05,7,P5524,Asterionella formosa Hassall,21000,2.11,96,2,100.5,Diatom
Conestogo,clc,2017-07-05,7,P5530,Stephanodiscus niagarae Ehrenberg,17000,230.05,20.5,41,13532.6,Diatom
Conestogo,clc,2017-07-05,7,P5551,Cyclotella michiganiana Skvortzow,79366,1.52,2.3,4.6,19.1,Diatom
Conestogo,clc,2017-07-05,7,P6554,Rhodomonas minuta Skuja,595245,91.25,12.2,6,153.3,Cryptophyte
Conestogo,clc,2017-07-05,7,P6558,Cryptomonas erosa Ehrenberg,16000,28.68,26.2,14,1792.5,Cryptophyte
Conestogo,clc,2017-07-05,7,P6562,Cryptomonas reflexa (Marsson) Skuja,8000,5.86,21,10,733,Cryptophyte
Conestogo,clc,2017-07-05,7,P6568,Katablepharis ovalis Skuja,277781,17.28,9,4.4,62.2,Cryptophyte
Conestogo,clc,2017-07-05,7,P7632,Gymnodinium sp.,20000,155.9,24.6,24.6,7794.8,Dinoflagellate
Conestogo,clc,2017-07-05,7,P7639,Peridinium pusillum (Penard) Lemmermann,20000,78.85,19.6,19.6,3942.5,Dinoflagellate
Conestogo,cle,2017-07-05,2,P1041,Aphanizomenon flos-aquae Ralfs and Born.,83000,298.98,260,4.2,3602.2,Cyanophyte
Conestogo,cle,2017-07-05,2,P1076,Woronichinia compacta (Lemmermann) Komarek and Hindak,5000,13.25,0,0,2650,Cyanophyte
Conestogo,cle,2017-07-05,2,P1205,Heterocycts (Aphanizomenon flos-aquae),31000,1.77,5.9,4.3,57.1,Cyanophyte
Conestogo,cle,2017-07-05,2,P2126,Chodatella sp.,317464,8.86,5.2,3.2,27.9,Chlorophyte
Conestogo,cle,2017-07-05,2,P2130,Scenedesmus quadricauda (Turp.) Brebisson,396830,18.17,8.2,4,45.8,Chlorophyte
