site,date,temp.C,pressure.mmhg,DO.mgl,spc,pH,FNU,PC_RFU,PC,Chl_RFU,Chl,depth.sonde.m,depth.adj
clc,2017-06-21,21.23,NA,7.8,NA,8.36,NA,NA,NA,NA,0.74,NA,0
clc,2017-06-21,21.26,NA,7.8,NA,8.36,NA,NA,NA,NA,0.8,NA,0.25
clc,2017-06-21,21.24,NA,7.8,NA,8.36,NA,NA,NA,NA,0.86,NA,0.5
clc,2017-06-21,21.24,NA,7.8,NA,8.36,NA,NA,NA,NA,0.64,NA,0.75
clc,2017-06-21,21.26,NA,7.8,NA,8.37,NA,NA,NA,NA,0.81,NA,1
clc,2017-06-21,21.25,NA,7.8,NA,8.37,NA,NA,NA,NA,0.87,NA,1.25
clc,2017-06-21,21.22,NA,7.79,NA,8.37,NA,NA,NA,NA,0.9,NA,1.5
clc,2017-06-21,21.24,NA,7.8,NA,8.36,NA,NA,NA,NA,0.93,NA,1.75
clc,2017-06-21,21.24,NA,7.8,NA,8.36,NA,NA,NA,NA,0.95,NA,2
clc,2017-06-21,21.23,NA,7.79,NA,8.36,NA,NA,NA,NA,1,NA,2.25
clc,2017-06-21,21.2,NA,7.78,NA,8.36,NA,NA,NA,NA,0.95,NA,2.5
clc,2017-06-21,21.2,NA,7.78,NA,8.38,NA,NA,NA,NA,0.94,NA,2.75
clc,2017-06-21,21.19,NA,7.78,NA,8.38,NA,NA,NA,NA,1,NA,3
clc,2017-06-21,21.95,NA,7.77,NA,8.36,NA,NA,NA,NA,0.83,NA,3.25
clc,2017-06-21,21.2,NA,7.77,NA,8.36,NA,NA,NA,NA,0.95,NA,3.5
clc,2017-06-21,21.19,NA,7.77,NA,8.36,NA,NA,NA,NA,0.94,NA,3.75
clc,2017-06-21,21.2,NA,7.77,NA,8.36,NA,NA,NA,NA,0.86,NA,4
clc,2017-06-21,21.18,NA,7.77,NA,8.36,NA,NA,NA,NA,0.9,NA,4.25
clc,2017-06-21,21.19,NA,7.76,NA,8.36,NA,NA,NA,NA,0.95,NA,4.5
clc,2017-06-21,21.19,NA,7.76,NA,8.36,NA,NA,NA,NA,0.95,NA,4.75
